punto,LTE 1800,LTE 2600,LTE 800,UMTS 2100
Archivo semisotano,-109.8,-113.0,-102.8,-111.1
Aula 2a planta,-86.7,-89.9,-79.6,-88.0
Entrada principal,-70.9,-74.1,-63.8,-72.2
